Keyword,Category,Timestamp
chatbot provide contact detail,Chatbot Enhancement,
answer small chat,Chatbot Enhancement,
small chat window,Chatbot Enhancement,
answer email specifically,Chatbot Enhancement,
not able attach,Chatbot Enhancement,
able attach error,Chatbot Enhancement,
attach error screenshot,Chatbot Enhancement,
look simple oudated,Chatbot Enhancement,
capability reset password,Chatbot Enhancement,
request access folder,Chatbot Enhancement,
not simple automation,Chatbot Enhancement,
nt simple automation,Chatbot Enhancement,
simple automation include,Chatbot Enhancement,
automation include chatbot,Chatbot Enhancement,
skype communication bot,Chatbot Enhancement,
communication bot minimally,Chatbot Enhancement,
bot minimally disruptive,Chatbot Enhancement,
able access outside,Chatbot Enhancement,
outside network field,Chatbot Enhancement,
chatbot not work,Chatbot Technical Issues,
bot ask retry,Chatbot Technical Issues,
not able ping bot,Chatbot Technical Issues,
not able find bot,Chatbot Technical Issues,
not get response ,Chatbot Technical Issues,
webpage have not,Chatbot Technical Issues,
webpage have nt,Chatbot Technical Issues,
nt get response,Chatbot Technical Issues,
hour window unacceptable,Chatbot Technical Issues,
chatbot wait nearly,Chatbot Technical Issues,
receive late response,Chatbot Technical Issues,
late response chatbot,Chatbot Technical Issues,
slow bot response,Chatbot Technical Issues,
not create ticket,Chatbot Technical Issues,
experience not good,Chatbot Technical Issues,
bot go wrong,Chatbot Technical Issues,
option not work,Chatbot Technical Issues,
nothing work chatbot,Chatbot Technical Issues,
not work bot,Chatbot Technical Issues,
chatbot never respond,Chatbot Technical Issues,
bot service terrible,Chatbot Technical Issues,
service terrible link,Chatbot Technical Issues,
bot never open,Chatbot Technical Issues,
delay response bot,Chatbot Technical Issues,
not resolve bot,Chatbot Technical Issues,
bot session close,Chatbot Technical Issues,
session close automatically,Chatbot Technical Issues,
chatbot response time,Chatbot Technical Issues,
response time long,Chatbot Technical Issues,
automatically create ticket,Chatbot Technical Issues,
bot multiple ticket,Chatbot Technical Issues,
know long wait,Chatbot Technical Issues,
long wait answer,Chatbot Technical Issues,
useless supoort,Overall Solution Feedback,
issue never resolve,Overall Solution Feedback,
issue send survey,Overall Solution Feedback,
not right help,Overall Solution Feedback,
help problem reopend,Overall Solution Feedback,
problem reopend ticket,Overall Solution Feedback,
not resolve tell,Overall Solution Feedback,
resolved tell wait,Overall Solution Feedback,
need help faster,Overall Solution Feedback,
like resolution quickly,Overall Solution Feedback,
thing contact  fix issue,Overall Solution Feedback,
fix issue helpdesk,Overall Solution Feedback,
issue helpdesk process,Overall Solution Feedback,
helpdesk process not,Overall Solution Feedback,
process not agile,Overall Solution Feedback,
problem not understand,Overall Solution Feedback,
not understand accurately,Overall Solution Feedback,
comment user support,Overall Solution Feedback,
support pretty slow,Overall Solution Feedback,
pretty slow outdated,Overall Solution Feedback,
not resolve ticket,Overall Solution Feedback,
resolve ticket cancel,Overall Solution Feedback,
ticket cancel explanation,Overall Solution Feedback,
pethatic response,Overall Solution Feedback,
worst experience,Overall Solution Feedback,
not able help question,Chatbot Knowledge,
chatbot fed more data,Chatbot Knowledge,
chatbot could not understand,Chatbot Knowledge,
bot lacking knowledge,Chatbot Knowledge,
increasing priority level,Chatbot Enhancement,
provide copy chat,Chatbot Enhancement,
copy chat reference,Chatbot Enhancement,
direct immediate connect,Chatbot Enhancement,
bot my teams account,Chatbot Enhancement,
skype ms teams ,Chatbot Enhancement,
callback not working,Chatbot Technical Issues,
voice not clear,Chatbot Technical Issues,
could not hear,Chatbot Technical Issues,
enhanced more user appealing,Chatbot Enhancement,
chatbot selection option ,Chatbot Enhancement,
bot could improved ,Chatbot Enhancement,
making voice enabled,Chatbot Enhancement,
provided chat transcript,Chatbot Enhancement,
direct answers inside chhat window,Chatbot Enhancement,
simple automations chatbot,Chatbot Enhancement,
close small tasks first level,Chatbot Enhancement,
reminders expiring passwords,Chatbot Enhancement,
fix Laptop directly,Chatbot Enhancement,
Insert picture section,Chatbot Enhancement,
share screen with chatbot,Chatbot Enhancement,
understand situation respond,Chatbot Enhancement,
chatbot more features,Chatbot Enhancement,
work personal assistant,Chatbot Enhancement,
SAP Password reset,Chatbot Enhancement,
chatbot provide documents directly,Chatbot Enhancement,
very less knowledge,Chatbot Knowledge,
support asking question,Chatbot Knowledge,
unfortunately not resolve PI,Chatbot Knowledge,
chatbot knowledge expanded,Chatbot Knowledge,
chatbot meager knowledge,Chatbot Knowledge,
don't provide answer,Chatbot Knowledge,
did not receive response query,Chatbot Knowledge,
knowledge issue bot,Chatbot Knowledge,
detailed information not given,Chatbot Knowledge,
Communication very poor,Chatbot Knowledge,
site not reachable,Chatbot Knowledge,
sent same solution,Chatbot Knowledge,
good information,Chatbot Knowledge,
received prompt responses,Chatbot Knowledge,
what process use,Chatbot Knowledge,
wrong information chatbot,Chatbot Knowledge,
problem didn't work,Chatbot Knowledge,
solve simple problem,Chatbot Knowledge,
not able resolve,Chatbot Knowledge,
dissatisfied Chatbot's IQ,Chatbot Knowledge,
didn't answer question,Chatbot Knowledge,
should able answer questions,Chatbot Knowledge,
variety questions related IT,Chatbot Knowledge,
received prompt helpful response,Overall Solution Feedback,
thank you chatbot,Overall Solution Feedback,
very useful chatbot,Overall Solution Feedback,
Really Great support,Overall Solution Feedback,
bot support good,Overall Solution Feedback,
Great bot support,Overall Solution Feedback,
thank you very much,Overall Solution Feedback,
great help perfect chatbot,Overall Solution Feedback,
bot works perfect,Overall Solution Feedback,
bot works great,Overall Solution Feedback,
Chatbot support nice,Overall Solution Feedback,
excellent service,Overall Solution Feedback,
very fast efficient,Overall Solution Feedback,
Fast effective support,Overall Solution Feedback,
Solution found immediately,Overall Solution Feedback,
quick resolution chatbot,Overall Solution Feedback,
quick support chatbot,Overall Solution Feedback,
skype experience positive,Overall Solution Feedback,
before send survey,Overall Solution Feedback,
immediate resolution problem,Overall Solution Feedback,
very prompt support,Overall Solution Feedback,
Worked super fast,Overall Solution Feedback,
great help non-English-speaking,Overall Solution Feedback,
Things not working,Overall Solution Feedback,
service was great,Overall Solution Feedback,
excellent service,Overall Solution Feedback,
overall concept support.,Overall Solution Feedback,
chatbot response slow,Chatbot Technical Issues,
chatbot service down,Chatbot Technical Issues,
bot never works,Chatbot Technical Issues,
response too slow,Chatbot Technical Issues,
bot service down,Chatbot Technical Issues,
session closed automatically,Chatbot Technical Issues,
not able connect,Chatbot Technical Issues,
not able find,Chatbot Technical Issues,
never able ping,Chatbot Technical Issues,
keeps asking retry,Chatbot Technical Issues,
No ticket created,Chatbot Technical Issues,
voice call does not work,Chatbot Technical Issues,
call does not work,Chatbot Technical Issues,
automatically created multiple tickets,Chatbot Technical Issues,
created multiple tickets,Chatbot Technical Issues,
long wait answer,Chatbot Technical Issues,
takes long respond,Chatbot Technical Issues,
Password reset incorrect,Chatbot Technical Issues,
reset options seems incorrect,Chatbot Technical Issues,
contact invisible while searching,Chatbot Technical Issues,
chatbot detect language,Chatbot Technical Issues,
detect correct language,Chatbot Technical Issues,
slow  response chatbot,Chatbot Technical Issues,
scheduling meeting chatbot feature,Chatbot Enhancement,
skype MS Teams chatbot,Chatbot Enhancement,
password reset,Chatbot Enhancement,
network issues,Chatbot Technical Issues,
all good,Overall Solution Feedback,52:06.2
very fast responds,Overall Solution Feedback,52:46.9
chat good idea,Chatbot Enhancement,59:14.9
need voice support,Chatbot Enhancement,09:01.0
chatbot menu,Chatbot Enhancement,00:10.9
could not hear the agent,Call Quality,45:55.5
